Position,Name,Fanduel,Owned 50/50,Owned GPP,Owned Combined,DFSReport Ownership,DFSReport Projected,DFSReport+Owned,Formula 7,Formula 8,Formula 5,Formula 6,Formula 9,FFA Points,FFA Ceiling,FFA Floor,FFA Points/Ceiling Avg,FFA Points/Floor Avg,FFA Ceiling/Floor Avg,FantasyPros,FantasyLabs,Fantasy Labs Ceiling,Fantasy Labs Floor,Fantasy Labs 2,FantasyLabs3,FantasyLabs4,Fantasy Labs 5,Rotogrinders,Counting
WR,Amari Cooper,11.04,28,23,25.5,,,25.5,-13.9,445.60625,182.9889,32.4307,109.3276,208.0518,221.301,191.6079,214.6764,199.8299,206.4545,11.6,13.9,18.8,9,1.43,0.22,33.68,7.29,15.67,8
WR,Allen Hurns,12.87,0,1,1,,,1,-66.15,302.12785,123.3104,18.8977,156.8206,156.3472,173.4488,133.4125,164.898,144.8799,153.4307,7.4,10.1,14.2,6,47.72,1.47,410.64,603.65,11.09,0
WR,Michael Floyd,9.79,0,0,0,,,0,73.2,366.27295,137.071,20.6851,106.243,174.9113,184.7733,159.55,179.8423,167.2307,172.1617,8.5,10.8,15.1,6.5,22.14,0.54,234.69,125.96,11.54,0
WR,Eric Decker,14.18,0,2,2,,,2,-12.55,383.27685,151.9903,23.4767,1376.5056,191.9537,207.122,173.6243,199.53785,182.789,190.3732,9.2,12.3,16.6,8,83.65,7.47,"1,366.44","10,211.36",12.65,0
WR,T.Y. Hilton,11.06,9,8,8.5,,,8.5,18.15,421.08905,165.5352,26.5767,97.946,202.4469,212.2843,188.7,207.3656,195.5735,200.4922,10.8,13.1,17.9,8.3,-1.8,1.64,-35.03,-57.37,13.2,0
WR,Jeremy Maclin,13.31,0,2,2,,,2,10.85,381.2013,148.6177,22.5622,126.9782,187.4902,194.0822,162.64,190.7862,175.0651,178.3611,9.6,11.6,15.7,7.5,35.94,0.5,490.86,247.15,14.06,0
WR,Doug Baldwin,14.37,0,5,5,,,5,86.2,405.2713,150.0868,23.878,147.9812,186.4824,204.8464,168.3314,195.6644,177.4069,186.5889,9.6,11.5,15.6,7.4,52.65,0.57,698.96,400.62,13.12,1
WR,Steve Smith Sr.,15.43,0,1,1,,,1,11.2,254.23495,97.8765,15.0708,87.9467,123.3187,134.8936,104.5389,129.10615,113.9288,119.7163,6.7,8.5,12,5,60.77,0.6,309.93,186.59,8.78,1
WR,DeSean Jackson,9.98,6,9,7.5,,,7.5,-51.9,311.20595,129.4586,20.748,80.7302,156.9781,169.9005,134.3552,163.4393,145.6667,152.1279,8.6,11.5,16,7,-0.29,0.43,-3.67,-1.59,10.64,0
WR,Jarvis Landry,13.77,0,1,1,,,1,-138.1,387.7486,158.3352,24.416,1008.3058,201.4636,215.37,190.4,208.4168,195.9318,202.885,8.7,12.9,17.2,8.6,30.75,12.31,586.68,"7,222.39",12.89,6
WR,Jordan Matthews,11.76,0,2,2,,,2,-23.7,341.89505,136.178,20.5844,108.4288,171.7707,178.651,145.9977,175.21085,158.8842,162.3244,8.4,10.8,14.5,7.1,12.72,1.19,141.46,167.98,11.1,0
WR,John Brown,11.67,0,1,1,,,1,74.2,345.78175,129.4041,19.778,103.6275,163.9221,177.1488,146.1705,170.53545,155.0463,161.6597,7.9,11,15.4,6.6,47.74,0.28,533.76,147.29,11,0
WR,Corey Coleman,0,0,1,1,,,1,-4.9,277.64555,110.7596,16.69,93.2601,139.2794,154.1585,123.3738,146.71895,131.3266,138.7662,7.4,11.1,15.3,6.9,1.34,10.96,15.74,172.43,10.16,0
WR,Tavon Austin,10.79,0,2,2,,,2,75.15,328.95035,123.4623,19.2513,100.711,155.4831,172.9845,140.65,164.2338,148.0666,156.8173,7.2,10.6,14.4,6.8,27.99,0.53,290.49,152.89,10.2,0
WR,Willie Snead,9.93,0,3,3,,,3,15.9,300.05555,117.1487,18.1654,81.383,146.0982,150.5901,134.5246,148.34415,140.3114,142.5574,7.2,10.5,14.5,6.5,25.65,0.18,253.84,46.78,9.85,0
WR,Kamar Aiken,9.99,0,1,1,,,1,10.2,257.50645,97.7158,15.1519,71.0537,123.771,147.4019,99.669,135.58645,111.72,123.5355,5.9,7.7,10.9,4.5,36.2,0.36,136.7,48.61,9.31,0
WR,Pierre Garcon,9.36,0,0,0,,,0,-59.4,239.01655,97.3277,14.6686,144.8321,123.5703,144.5925,97.1,134.0814,110.3352,120.8463,6,9.6,13,6.2,20.83,4,161.14,645.26,9.21,0
WR,Stefon Diggs,9.48,0,0,0,,,0,-7.15,308.7053,117.7143,18.0584,79.1922,150.3691,170.8869,133.0855,160.628,141.7273,151.9862,6.9,9.4,13,5.8,2.31,0.09,16.37,1.49,10.95,0
WR,Donte Moncrief,8.83,16,14,15,,,15,24.65,384.8315,154.9409,25.945,95.8635,183.0378,192.9716,161.3158,188.0047,172.1768,177.1437,9.1,12,16.2,7.8,2.66,0.41,40.28,16.33,12.28,0
WR,Tyler Lockett,8.74,0,4,4,,,4,85.2,360.0129,132.4796,20.7523,87.8485,165.3895,175.1543,151.6925,170.2719,158.541,163.4234,7.5,10.5,14.4,6.6,23.4,0.08,233.5,18.46,10.46,1
WR,Michael Crabtree,11.79,0,6,6,,,6,-41.4,340.0697,136.1588,21.9907,149.8382,167.1617,183.416,155.2,175.28885,161.1809,169.308,9.1,11.5,15.3,7.7,43.48,0.84,589.04,492.03,12.84,0
