Position,Name,Team,Salary,Projected
"WR","Jarvis Landry","MIA",6600,190.4
"","","","",1857.7632
FFA Points/Ceiling Avg,,,,
"D","Minnesota Vikings","MIN",4600,129.5871
"K","Chris Boswell","PIT",4600,149.75085
"QB","Russell Wilson","SEA",8500,336.34575
"RB","Lamar Miller","HOU",7600,240.4175
"RB","LeSean McCoy","BUF",6900,220.7542
"TE","David Johnson","PIT",4500,259.8664
"WR","Antonio Brown","PIT",9300,313.1241
"WR","Keenan Allen","SD",7400,231.6168
"WR","Jarvis Landry","MIA",6600,208.4168
"","","","",2089.8795000000005
FFA Points/Floor Avg,,,,
"D","Minnesota Vikings","MIN",4600,120.3769
"K","Chris Boswell","PIT",4600,139.9565
"QB","Russell Wilson","SEA",8500,315.0497
"RB","Lamar Miller","HOU",7600,225.1562
"RB","LeSean McCoy","BUF",6900,199.7609
"TE","David Johnson","PIT",4500,238.5816
"WR","Antonio Brown","PIT",9300,294.4931
"WR","Keenan Allen","SD",7400,212.5098
"WR","Jarvis Landry","MIA",6600,195.9318
"","","","",1941.8165000000004
FFA Ceiling/Floor Avg,,,,
"D","Jacksonville Jaguars","JAC",4100,111.7828
"K","Stephen Gostkowski","NE",5000,152.0164
"QB","Russell Wilson","SEA",8500,323.2361
"RB","Lamar Miller","HOU",7600,233.5613
"RB","LeSean McCoy","BUF",6900,208.9933
"TE","David Johnson","PIT",4500,246.8949
"WR","Antonio Brown","PIT",9300,302.9922
"WR","Keenan Allen","SD",7400,222.307
"WR","Jarvis Landry","MIA",6600,202.885
"","","","",2004.6689999999999
FantasyPros,,,,
"D","Arizona Cardinals","ARI",5000,140.5551
"K","Nick Novak","HOU",4500,8.3
"QB","Dak Prescott","DAL",5000,16.1
"RB","Lamar Miller","HOU",7600,14.6
"RB","DeAngelo Williams","PIT",7100,14.5
"TE","Coby Fleener","NO",5400,7.1
"WR","Antonio Brown","PIT",9300,15.7
"WR","Julio Jones","ATL",9000,15.1
"WR","Amari Cooper","OAK",7100,11.6
"","","","",243.55509999999998
FantasyLabs4,,,,
"D","Washington Redskins","WAS",4200,5.4
"K","Justin Tucker","BAL",4900,11.4
"QB","Dak Prescott","DAL",5000,18.9
"RB","Lamar Miller","HOU",7600,15.3
"RB","DeAngelo Williams","PIT",7100,15.7
"TE","David Johnson","PIT",4500,16.0
"WR","Antonio Brown","PIT",9300,20.1
"WR","Julio Jones","ATL",9000,18.8
"WR","DeAndre Hopkins","HOU",8400,16.1
"","","","",137.70000000000002
Rotogrinders,,,,
"D","Seattle Seahawks","SEA",5000,7.2
"K","Justin Tucker","BAL",4900,11.4
"QB","Aaron Rodgers","GB",9000,875.53
"RB","Adrian Peterson","MIN",8200,101.86
"RB","Devonta Freeman","ATL",8100,79.13
"TE","David Johnson","PIT",4500,16.63
"WR","Jordy Nelson","GB",8400,23.69
"WR","Greg Salas","BUF",4600,88.61
"WR","Adam Thielen","MIN",4500,16.7
"","","","",1220.75
Counting,,,,
"D","San Diego Chargers","SD",4100,10.05
"K","Stephen Gostkowski","NE",5000,402.99
"QB","Ben Roethlisberger","PIT",8500,445.78
"RB","Lamar Miller","HOU",7600,838.42
"RB","DeAngelo Williams","PIT",7100,821.63
"TE","Gary Barnidge","CLE",6300,635.42
"WR","Keenan Allen","SD",7400,776.4
"WR","Sammy Watkins","BUF",7300,961.35
"WR","Doug Baldwin","SEA",6700,698.96
"","","","",5591.0
